Sunshine,Humidity,Pressure,Cloud,Target,Predict
,31.0,1005.45,,0,0
,64.5,1022.3,,1,0
10.8,54.0,1025.65,1.0,0,0
,77.5,1019.4,,0,0
,82.0,,8.0,1,1
,44.0,1005.25,,0,0
,89.5,,4.0,1,1
,75.0,1008.0,8.0,0,1
,66.0,1023.55,,0,0
,71.0,1017.8499999999999,,0,0
2.8,76.5,1008.6,7.0,1,1
,65.0,1014.1,,0,0
,70.5,,,0,0
,56.0,1020.75,,0,0
,59.0,,4.5,1,0
8.8,64.5,1024.3000000000002,1.0,0,0
12.6,60.0,1025.65,2.5,0,0
,54.5,1023.9,,0,0
,82.5,1013.1,,0,0
,54.0,1005.0999999999999,,0,0
12.1,38.0,1018.05,7.0,0,0
,49.5,1015.8,,0,0
,73.0,1017.75,,0,0
,21.5,1010.65,,0,0
,31.5,1016.4,,0,0
,73.5,1012.7,,0,0
8.7,30.0,1015.05,2.0,0,0
,68.0,1025.6,,0,0
1.8,83.5,1019.0,7.0,0,1
,,,,0,0
,52.0,1029.5,,0,0
,59.0,1026.9499999999998,6.5,0,0
,41.0,,0.5,0,0
,83.5,1017.6,8.0,1,1
,86.0,1024.6,5.0,0,1
,72.5,1023.55,,0,0
,75.5,1019.5,,0,0
,95.0,1018.05,8.0,1,1
,91.5,,,0,1
9.0,64.0,1019.85,6.5,1,0
,60.0,1025.45,,0,0
,36.5,1017.75,,0,0
,63.5,,0.5,0,0
,70.0,1027.8,,0,0
12.8,41.0,1013.5,3.5,0,0
,45.5,1030.85,,0,0
9.8,58.5,1015.3,2.0,0,0
,31.5,1016.3,1.5,0,0
,74.5,,,0,0
,42.5,,,0,0
,57.0,1027.0500000000002,4.0,0,0
10.9,45.5,1021.35,0.0,0,0
,67.0,1013.7,,1,0
,77.0,,4.0,0,0
,81.0,1017.0,8.0,0,1
,24.5,1014.2,,0,0
,55.0,1030.8,,0,0
,35.5,1013.45,,0,0
,63.5,1015.0,8.0,0,0
,,,,0,0
,87.0,,7.5,0,1
,44.0,1009.45,,0,0
,74.0,,6.5,0,0
,76.0,1028.75,,0,0
1.7,71.5,1012.85,8.0,1,1
10.6,45.0,1014.45,1.5,0,0
,78.5,1015.15,8.0,0,1
,20.0,1012.5,,0,0
,38.0,,3.5,0,0
,90.5,1016.05,8.0,1,1
,77.0,1006.3,,0,0
4.1,89.0,1013.3,6.5,1,1
,72.0,1020.0,6.0,0,0
,39.0,1018.2,0.0,0,0
,82.0,1016.7,,0,0
